,index,total_num,average_revenue,rating,voting_total,order
0,Animation,234.0,160.3382342264957,6.936330091493943,291604.0,0
1,Adventure,792.0,142.29582132449497,6.726182933259394,1132249.0,1
2,Fantasy,425.0,130.9314170682353,6.636944974399474,563465.0,2
3,Family,514.0,111.91196743968871,6.780205494538717,463078.0,3
4,Science Fiction,538.0,100.64796454275093,6.723638050558964,765245.0,4
5,Action,1156.0,90.09444986245676,6.643108661438891,1314643.0,5
6,War,144.0,49.84563911111111,7.236122507044064,108957.0,6
7,Thriller,1275.0,49.248829840000006,6.687812315621502,986422.0,7
8,Mystery,348.0,48.10241756034483,6.860035310658279,278103.0,8
9,Comedy,1723.0,46.07918049854904,6.503291084665006,904565.0,9
10,Romance,895.0,39.891739668156426,6.7071246912854345,408144.0,10
11,Crime,697.0,38.595432441893834,6.909248261490197,524012.0,11
12,Music,185.0,33.1155718,6.742711181464959,55592.0,12
13,Drama,2300.0,31.539287595652173,7.074081216722078,1223221.0,13
14,Horror,520.0,29.448965990384615,6.290677222463816,257552.0,14
15,History,197.0,28.33075533502538,7.1997549479655465,95898.0,15
16,Western,82.0,22.277018414634146,7.1307780274456265,49844.0,16
17,Documentary,110.0,7.185599572727273,6.955273663876368,7765.0,17
18,Foreign,34.0,-0.2934369411764706,6.463387978142077,366.0,18
19,TV Movie,8.0,-1.15,5.557866507747319,1678.0,19
