,total_num,average_revenue,rating,voting_total
Steven Spielberg,27.0,7664893164.0,7.22563283197537,59771.0
Peter Jackson,9.0,5455642820.0,7.590604616432039,45533.0
James Cameron,7.0,5373669439.0,7.378454553764587,32819.0
Michael Bay,12.0,4572524638.0,6.328243620785993,26845.0
Christopher Nolan,8.0,3472483234.0,7.94518379008188,62653.0
Chris Columbus,11.0,3223631503.0,6.933726712977581,25336.0
George Lucas,5.0,3092336893.0,7.111247947454844,19488.0
Robert Zemeckis,13.0,2800622002.0,7.437829648075365,33331.0
Joss Whedon,3.0,2704831068.0,7.365835310748725,19807.0
Tim Burton,15.0,2539040441.0,6.733026479106329,29004.0
Pierre Coffin,3.0,2528006832.0,6.866454162947852,15686.0
Francis Lawrence,5.0,2509457182.0,6.909514839658183,21766.0
Sam Raimi,11.0,2466951462.0,6.46918018623404,20834.0
Carlos Saldanha,5.0,2458148786.0,6.411114547891535,9699.0
Gore Verbinski,7.0,2370013357.0,6.947844017779406,21823.0
Sam Mendes,7.0,2294548809.0,6.935019220208678,18210.0
James Wan,7.0,2281614787.0,7.124607401338251,14646.0
Chris Renaud,3.0,2245234178.0,6.783192700830075,14577.0
Andrew Adamson,5.0,2216859447.0,6.8537540709444595,11361.0
Ridley Scott,16.0,2099557997.0,7.189658692713075,36243.0
Ron Howard,13.0,2053390547.0,6.935670786855593,16585.0
Eric Darnell,5.0,2016812256.0,6.390625989654808,9473.0
Jon Favreau,6.0,1941854232.0,6.929757104926738,20338.0
M. Night Shyamalan,9.0,1935354930.0,6.1832333215672435,14165.0
Bryan Singer,8.0,1919235001.0,6.841428624771293,26781.0
David Yates,3.0,1898914996.0,7.050677158205342,13217.0
John Lasseter,5.0,1896015306.0,7.02192850532161,17288.0
Conrad Vernon,4.0,1875022519.0,6.226983563911554,8457.0
Roland Emmerich,7.0,1869048638.0,5.948231165855054,13964.0
Zack Snyder,7.0,1866197387.0,6.403390037939053,24513.0
Tom McGrath,4.0,1855389507.0,6.498119229454007,8773.0
Clint Eastwood,20.0,1819758888.0,7.298386597938145,19400.0
Joe Russo,4.0,1773302435.0,7.25934482246323,13462.0
Anthony Russo,4.0,1773302435.0,7.25934482246323,13462.0
Brad Bird,5.0,1725191917.0,7.114526019690577,17775.0
Andrew Stanton,4.0,1715045355.0,7.376242208370436,16845.0
Barry Sonnenfeld,7.0,1692188737.0,6.3317451205510915,13936.0
Shawn Levy,11.0,1665787063.0,6.1506650127489495,14511.0
David Fincher,10.0,1639346325.0,7.685718580877932,36586.0
Steven Soderbergh,15.0,1609664443.0,6.603448275862069,14413.0
Rob Marshall,5.0,1521461383.0,6.324536693847294,8094.0
Lana Wachowski,7.0,1453032969.0,6.929752104125467,21743.0
Lilly Wachowski,7.0,1453032969.0,6.929752104125467,21743.0
Raja Gosnell,6.0,1452542081.0,5.447096444103351,3909.0
Pete Docter,2.0,1417710256.0,7.846537602382726,13430.0
Alfonso Cuarón,5.0,1415631069.0,7.472589831938683,14221.0
Rob Minkoff,6.0,1398443269.0,7.2099105299380595,8718.0
Jay Roach,8.0,1378050236.0,6.175151682294539,7252.0
Chris Weitz,6.0,1350304582.0,5.999572964217347,6791.0
Chris Buck,2.0,1338263522.0,7.1572930800542744,5896.0
Marc Webb,3.0,1311156023.0,6.648716072865609,13669.0
Martin Campbell,8.0,1286344952.0,6.3713999236058045,10472.0
Jennifer Lee,1.0,1274219009.0,7.3,5295.0
Quentin Tarantino,10.0,1264768694.0,7.835013986645011,44328.0
Tony Scott,12.0,1250420739.0,6.664173306772908,10040.0
Chris Miller,2.0,1223945642.0,6.066104800293148,2729.0
Shane Black,2.0,1216225142.0,6.836566240198102,9692.0
Mike Newell,7.0,1198339116.0,7.073877987176997,10294.0
Garry Marshall,8.0,1172191000.0,6.256372466923464,5971.0
Ang Lee,8.0,1166119699.0,6.943520735561729,10441.0
J.J. Abrams,4.0,1160991691.0,7.118396895290693,13399.0
Kyle Balda,1.0,1156730962.0,6.4,4571.0
Brett Ratner,10.0,1155021296.0,6.042546641791045,10720.0
Wolfgang Petersen,7.0,1144016083.0,6.694889242797162,6907.0
Mike Mitchell,4.0,1120201184.0,5.832050893668585,3301.0
Todd Phillips,7.0,1100393375.0,6.629758094529216,13435.0
Marc Forster,8.0,1099588944.0,6.631418296640645,11401.0
Lee Unkrich,1.0,1066969703.0,7.6,4597.0
Doug Liman,7.0,1058460652.0,7.025934192526458,13889.0
Jennifer Yuh Nelson,2.0,1041863106.0,6.699999999999999,3483.0
Steve Martino,2.0,1028477895.0,6.255311355311356,3276.0
Tom Shadyac,7.0,1025174878.0,6.229477320851444,8973.0
Dean DeBlois,3.0,1024773334.0,7.4751358852781316,8647.0
Peter Farrelly,12.0,1016656887.0,5.894074675324675,8624.0
Chris Sanders,3.0,1010829214.0,7.222304785894206,7940.0
Dennis Dugan,9.0,992761533.0,5.843992080188096,8081.0
Bobby Farrelly,11.0,990217899.0,6.046211830841957,7827.0
Nancy Meyers,5.0,978677472.0,6.661626951520131,4868.0
Joel Schumacher,13.0,977536597.0,5.857142857142857,7980.0
David Ayer,6.0,961989715.0,6.443648184673826,13689.0
Jan de Bont,5.0,960122028.0,5.937949132014533,4954.0
Jon M. Chu,5.0,959328078.0,6.122302252488213,7636.0
Phil Lord,4.0,950176100.0,6.954078624078624,12210.0
Christopher Miller,4.0,950176100.0,6.954078624078624,12210.0
Roger Allers,2.0,940550803.0,7.793368700265252,6032.0
Justin Lin,5.0,918077783.0,6.651912244292913,6746.0
Martin Scorsese,20.0,917035304.0,7.644337797336774,26359.0
Alan Taylor,2.0,915174939.0,6.367016455998092,8386.0
Rob Cohen,9.0,911060000.0,5.798426514897891,8961.0
Rob Letterman,4.0,899330401.0,5.826914708442124,4596.0
Richard Donner,11.0,896360471.0,6.486944045911047,5576.0
Kelly Asbury,2.0,892402297.0,6.852317360565594,3819.0
Bill Condon,5.0,890944316.0,6.134749487254614,3413.0
